"Sales Date","Deposit Date","Store ID","Retek Code","Brand Name","Col Bank",Status,"Sales Amount","Deposit Amount",Difference,"Pending Difference","Reconcilied Difference","Recon Status"
09-05-2024,,1001,41001,"PLANET FASHION","HDFC Card","Not Matched",1874.25,0.00,1874.25,0.00,1874.25,Rejected
09-05-2024,09-05-2024,4486,84486,"VAN HEUSEN VALUE STORE","HDFC Card","Not Matched",8097.00,2599.00,5498.00,1052.00,4446.00,Rejected
08-05-2024,08-05-2024,1064,11064,"LOUIS PHILIPPE","HDFC Card","Not Matched",36797.80,2999.00,33798.80,14902.80,18896.00,Rejected
08-05-2024,08-05-2024,1008,21008,"VAN HEUSEN","HDFC Card","Not Matched",51989.00,16494.00,35495.00,29495.00,6000.00,Rejected
06-05-2024,06-05-2024,1083,11083,"LOUIS PHILIPPE","HDFC Card","Not Matched",112085.00,93993.00,18092.00,11994.00,6098.00,Rejected
05-05-2024,05-05-2024,1647,51647,"AMERICAN EAGLE","SBI Card","Not Matched",0.00,15371.00,-15371.00,-16980.30,1609.30,Rejected
30-04-2024,30-04-2024,9492,29492,"VAN HEUSEN","SBI Card","Not Matched",0.00,2666.00,-2666.00,-2865.00,199.00,Rejected
27-04-2024,27-04-2024,1001,41001,"PLANET FASHION","SBI Card","Not Matched",0.00,1874.00,-1874.00,2183.50,-4057.50,Rejected
26-04-2024,26-04-2024,6872,26872,"VH GOLD","HDFC Card","Not Matched",7434.90,1299.00,6135.90,5135.90,1000.00,Rejected
23-04-2024,23-04-2024,1064,11064,"LOUIS PHILIPPE","HDFC Card","Not Matched",18919.00,12421.00,6498.00,-18509.60,25007.60,Rejected
22-04-2024,22-04-2024,1064,11064,"LOUIS PHILIPPE","SBI Card","Not Matched",0.00,10530.00,-10530.00,-14765.00,4235.00,Rejected
18-04-2024,18-04-2024,1001,41001,"PLANET FASHION","HDFC Card","Not Matched",11731.25,6635.25,5096.00,10192.00,-5096.00,Rejected
13-04-2024,13-04-2024,7729,27729,"VH GOLD","SBI Card","Not Matched",0.00,2197.00,-2197.00,-62398.00,60201.00,Rejected
07-04-2024,07-04-2024,3752,13752,"LOUIS PHILIPPE","SBI Card","Not Matched",0.00,65636.00,-65636.00,-103636.00,38000.00,Rejected
04-04-2024,04-04-2024,1005,41005,"PLANET FASHION","HDFC Card","Not Matched",7960.25,4998.00,2962.25,-27037.75,30000.00,Rejected
02-04-2024,02-04-2024,1005,41005,"PLANET FASHION","SBI Card","Not Matched",0.00,2599.00,-2599.00,-38599.00,36000.00,Rejected
