"Total Count: ",23
"Matched Count: ",11
"Not Matched Count: ",12

,,,,,,Total,348758.36,778364.66,.00,-429606.30
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"UPI Sales","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
30-05-2024,30-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,3198.00,3198.00,0.00,0.00,0.00,
29-05-2024,29-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,20494.00,20494.00,0.00,0.00,0.00,
28-05-2024,28-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,31816.36,31816.36,0.00,0.00,0.00,
27-05-2024,27-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,15643.00,15643.00,0.00,0.00,0.00,
25-05-2024,25-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,78937.10,78937.10,0.00,0.00,0.00,
24-05-2024,24-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,6246.00,6246.00,0.00,0.00,0.00,
23-05-2024,23-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,22592.00,22592.00,0.00,0.00,0.00,
21-05-2024,21-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,37559.30,37559.30,0.00,0.00,0.00,
20-05-2024,20-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,13723.30,13723.30,0.00,0.00,0.00,
18-05-2024,18-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,17393.80,17393.80,0.00,0.00,0.00,
17-05-2024,17-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI",Matched,49341.00,49341.00,0.00,0.00,0.00,
16-05-2024,16-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",46516.20,64612.20,0.00,-18096.00,-18096.00,
15-05-2024,15-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,47985.40,0.00,-47985.40,-47985.40,
14-05-2024,14-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,41247.50,0.00,-41247.50,-41247.50,
13-05-2024,13-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",5298.30,28493.30,0.00,-23195.00,-23195.00,
11-05-2024,11-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,48985.00,0.00,-48985.00,-48985.00,
10-05-2024,10-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,22797.00,0.00,-22797.00,-22797.00,
09-05-2024,09-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,3913.00,0.00,-3913.00,-3913.00,
08-05-2024,08-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,29153.80,0.00,-29153.80,-29153.80,
04-05-2024,04-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,56815.30,0.00,-56815.30,-56815.30,
03-05-2024,03-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,76779.80,0.00,-76779.80,-76779.80,
02-05-2024,02-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,12805.30,0.00,-12805.30,-12805.30,
01-05-2024,01-05-2024,1002,11002,"LOUIS PHILIPPE","HDFC UPI","Not Matched",0.00,47833.20,0.00,-47833.20,-47833.20,
